mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,search_type
9.429728126525879,0.8353582824145708,0.41688690185546873,0.0831236928868903,True,entropy,9,,7,10,1456,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 9, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 10, 'model__n_estimators': 1456}",0.766685052399338,0.7486979166666666,0.7243303571428572,0.8258928571428571,0.8000372023809523,0.7731286771465342,0.036132494554526065,43,0.966122581845238,0.9648085683485761,0.9606124885535116,0.9558716138679278,0.9593722108240312,0.961357492687857,0.0037204096430305217,RandomizedSearchCV
5.944899320602417,0.49917999914112693,0.3632558822631836,0.11621212975402637,True,entropy,7,,6,2,827,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 6, 'model__min_samples_split': 2, 'model__n_estimators': 827}",0.7692590549733407,0.752232142857143,0.7261904761904762,0.8225446428571428,0.8000372023809523,0.774052703851811,0.03410739245590404,40,0.9618675595238095,0.9606472626954597,0.9556513776355902,0.951327792653383,0.9543995085254605,0.9567787002067405,0.003937158042776365,RandomizedSearchCV
5.0479738235473635,0.6380887722901724,0.2574934959411621,0.1032165456434804,True,gini,10,,3,17,709,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 17, 'model__n_estimators': 709}",0.791689648832506,0.7472098214285714,0.7379092261904762,0.8208705357142857,0.7873883928571429,0.7770135250045964,0.030541351687675227,34,0.971284412202381,0.9664081788781862,0.9620498197540308,0.9644260527871475,0.9655272339488357,0.9659391395141164,0.0030455818449414782,RandomizedSearchCV
3.6012982368469237,0.2537352389978535,0.23486218452453614,0.035093452778862305,False,entropy,22,sqrt,2,3,1021,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 22, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 1021}",0.778819635962493,0.7503720238095238,0.7466517857142858,0.8379836309523809,0.7769717261904762,0.778159760525832,0.03269756297501787,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
10.374065017700195,0.9998228697772494,0.3593910694122314,0.1699252463060107,True,entropy,8,,1,15,1500,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 8, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 15, 'model__n_estimators': 1500}",0.7738554881412025,0.7472098214285714,0.7401413690476191,0.8216145833333334,0.7838541666666666,0.7733350857234786,0.029072956620411608,42,0.9836309523809523,0.9821144996580542,0.9756812833976656,0.9781038819533794,0.9800280511411714,0.9799117337062446,0.002823591079037773,RandomizedSearchCV
7.1259537696838375,0.870236578831708,0.327574348449707,0.12978132000862502,True,gini,12,,1,2,887,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 12, 'model__max_features': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 887}",0.7828644971502114,0.7351190476190477,0.7620907738095238,0.8223586309523809,0.7752976190476191,0.7755461137157565,0.028497108979343776,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
6.112985467910766,0.6232104943380026,0.2937004566192627,0.05247606735804931,True,gini,27,sqrt,6,7,1588,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 27, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 7, 'model__n_estimators': 1588}",0.7918735061592204,0.7496279761904763,0.7481398809523809,0.8485863095238095,0.798549107142857,0.7873553559937487,0.037030128504899604,6,0.9441382998511905,0.9447670712058512,0.9374297272548133,0.9358880736284498,0.9435499762376697,0.9411546296355949,0.0037229347918212945,RandomizedSearchCV
3.7709601402282713,0.1967179945795988,0.26665310859680175,0.055245043579493426,True,entropy,6,log2,1,16,1159,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 16, 'model__n_estimators': 1159}",0.803088803088803,0.7559523809523809,0.7347470238095238,0.8463541666666667,0.7879464285714285,0.7856177606177606,0.038645666389143886,10,0.9225725446428571,0.9227086738301399,0.9154872436855953,0.9109434224710505,0.9211902029650751,0.9185804175189436,0.004640732203954706,RandomizedSearchCV
5.312250566482544,0.48672434081257604,0.3695185661315918,0.17610096103949055,False,gini,20,sqrt,3,18,1735,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 18, 'model__n_estimators': 1735}",0.7915057915057915,0.7546502976190476,0.7444196428571428,0.8430059523809523,0.7927827380952381,0.7852728844916343,0.0347421482862605,12,0.9891066778273809,0.987550857182599,0.9822188220838984,0.984293679220132,0.9864496760209108,0.9859239424669843,0.002426467677226419,RandomizedSearchCV
9.02281050682068,0.26630714085164814,0.30391654968261717,0.07648082253672982,True,entropy,18,,3,10,1260,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 18, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 1260}",0.7727523441809157,0.7490699404761906,0.7397693452380952,0.8232886904761904,0.7948288690476191,0.7759418378838021,0.030460352464008047,36,0.997407459077381,0.9957111891597408,0.9943781803850656,0.9941115786301307,0.9958618771081824,0.9954940568721001,0.0011832136391554103,RandomizedSearchCV
